person_id,true_best_party,n_train,n_items_asked_50,obs_top1,obs_top3,obs_mae_mean,pred_top1,pred_top3,pred_mae_mean,obs_mae_CDU,obs_mae_DIE LINKE,obs_mae_Die Grünen,obs_mae_FDP,obs_mae_SPD,obs_mae_bunt.saar,pred_mae_CDU,pred_mae_DIE LINKE,pred_mae_Die Grünen,pred_mae_FDP,pred_mae_SPD,pred_mae_bunt.saar
1133,Die Grünen,300,19,0.0,0.0,5.3165007112375555,0.0,0.0,1.2950450450450468,1.5825035561877598,1.6002844950213486,8.694879089615938,2.809388335704128,12.517780938833575,4.694167852062584,1.689189189189193,0.3378378378378386,2.702702702702709,1.0135135135135158,1.689189189189186,0.3378378378378386
1219,FDP,300,19,0.0,1.0,3.511735419630154,1.0,1.0,3.547297297297296,2.5426742532005733,1.475817923186348,4.836415362731152,4.87197724039828,5.298719772403977,2.044807965860592,5.4054054054054035,3.0405405405405403,3.7162162162162176,5.4054054054054035,2.7027027027026946,1.0135135135135158
5100,CDU,300,19,1.0,1.0,4.329658605974398,1.0,0.0,2.1396396396396375,6.276671408250358,0.23115220483641252,3.09388335704125,4.854196301564727,9.299431009957331,2.2226173541963092,1.0135135135135087,2.7027027027026946,3.7162162162162176,3.378378378378372,0.6756756756756772,1.3513513513513544
3807,DIE LINKE,300,19,0.0,1.0,4.960881934566143,0.0,1.0,5.1238738738738725,4.214082503556185,9.299431009957324,4.12517780938834,0.03556187766713492,7.361308677098151,4.729729729729726,5.4054054054054035,7.094594594594589,4.054054054054063,6.418918918918912,3.7162162162162176,4.054054054054049
4621,CDU,300,19,1.0,1.0,2.634542437174017,1.0,1.0,1.520270270270269,1.4224751066856385,0.9779516358463738,0.5689900426742511,5.352062588904687,0.46230440967283215,7.02347083926032,1.6891891891891788,1.689189189189186,1.3513513513513473,1.689189189189193,1.0135135135135158,1.689189189189193
3315,Die Grünen,300,19,0.0,0.0,7.328710289236599,1.0,0.0,1.8581081081081028,2.9871977240398238,7.307965860597427,7.076813655761022,1.795874822190612,12.926742532005676,11.877667140825032,3.7162162162162033,2.0270270270270174,1.0135135135135158,1.3513513513513544,2.0270270270270174,1.0135135135135087
3185,Die Grünen,300,19,1.0,1.0,5.01718824087245,0.0,1.0,2.1959459459459474,4.071834992887624,3.342816500711244,3.09388335704125,12.57112375533427,2.435988620199147,4.587482219061165,4.054054054054056,3.0405405405405332,0.3378378378378386,2.702702702702709,1.013513513513523,2.0270270270270245
4461,bunt.saar,300,19,1.0,1.0,3.5798956851588386,1.0,1.0,1.0135135135135134,0.9779516358463738,3.4317211948790884,5.387624466571822,2.933854907539107,2.9694167852062634,5.778805120910377,1.3513513513513544,0.6756756756756772,0.6756756756756772,0.675675675675663,2.0270270270270316,0.6756756756756772
4848,SPD,300,19,1.0,1.0,5.438003793266954,1.0,1.0,1.5765765765765718,0.3022759601707037,4.765291607396875,8.872688477951627,7.3790896159317185,2.880512091038412,8.428165007112383,4.054054054054042,0.3378378378378244,1.0135135135135087,0.0,3.7162162162162247,0.3378378378378315
2344,bunt.saar,300,19,1.0,0.0,5.369843527738264,1.0,1.0,2.7590090090090094,0.5334281650071091,1.3869132290184822,8.285917496443815,1.546941678520625,14.02916073968705,6.436699857752501,2.7027027027027017,2.0270270270270316,4.054054054054063,2.0270270270270316,2.7027027027026946,3.0405405405405332
